Model,Fit Time (s),Predict Time (s),Latency (ms/sample),Throughput (samples/s),Peak Fit Memory (MB),Model Size (KB),edge_feasible
Logistic Regression,0.0307,0.00241,0.00148,674362.7,1.371,2.89,True
Ridge Classifier,0.0231,0.00221,0.00136,735356.9,1.614,2.89,True
GaussianNB,0.0134,0.00155,0.00095,1049370.5,1.27,2.95,True
SGD Classifier,0.0463,0.00288,0.00177,563546.6,1.275,3.12,True
Decision Tree,0.0199,0.00327,0.00201,496833.0,1.274,8.92,True
AdaBoost,0.1747,0.00537,0.00331,302277.3,1.269,30.64,True
SVM,0.4513,0.03453,0.02128,46997.2,1.275,59.96,True
MLP,3.3348,0.00373,0.0023,435001.1,1.272,71.45,True
Gradient Boosting,0.3206,0.00341,0.0021,476093.8,1.295,134.75,True
CatBoost,0.497,0.00237,0.00146,684054.8,1.273,440.11,True
XGBoost,0.4308,0.00381,0.00234,426449.7,1.274,464.12,True
KNN,0.0135,0.02569,0.01583,63185.2,1.277,550.34,False
LightGBM,0.7153,0.00637,0.00392,254895.4,3.776,1034.09,False
Random Forest,0.841,0.02659,0.01638,61043.1,4.584,2603.33,False
Extra Trees,0.4539,0.02785,0.01716,58274.1,3.551,5735.21,False
