Model A,Model B,rank_diff,significant
Random Forest,GaussianNB,13.0,True
Extra Trees,GaussianNB,12.4,True
Ridge Classifier,Random Forest,12.0,True
GaussianNB,CatBoost,11.8,True
Ridge Classifier,Extra Trees,11.4,True
GaussianNB,XGBoost,10.8,True
Ridge Classifier,CatBoost,10.8,True
SGD Classifier,Random Forest,10.6,True
Logistic Regression,Random Forest,10.4,True
Gradient Boosting,GaussianNB,10.3,True
SGD Classifier,Extra Trees,10.0,True
Logistic Regression,Extra Trees,9.8,True
Ridge Classifier,XGBoost,9.8,True
GaussianNB,LightGBM,9.4,False
SGD Classifier,CatBoost,9.4,False
Ridge Classifier,Gradient Boosting,9.3,False
Logistic Regression,CatBoost,9.2,False
Random Forest,AdaBoost,8.8,False
Ridge Classifier,LightGBM,8.4,False
SGD Classifier,XGBoost,8.4,False
Random Forest,SVM,8.2,False
Decision Tree,GaussianNB,8.2,False
Logistic Regression,XGBoost,8.2,False
Extra Trees,AdaBoost,8.2,False
SGD Classifier,Gradient Boosting,7.9,False
Logistic Regression,Gradient Boosting,7.7,False
Extra Trees,SVM,7.6,False
AdaBoost,CatBoost,7.6,False
GaussianNB,MLP,7.5,False
Ridge Classifier,Decision Tree,7.2,False
SVM,CatBoost,7.0,False
SGD Classifier,LightGBM,7.0,False
Logistic Regression,LightGBM,6.8,False
KNN,GaussianNB,6.6,False
AdaBoost,XGBoost,6.6,False
Ridge Classifier,MLP,6.5,False
Random Forest,KNN,6.4,False
AdaBoost,Gradient Boosting,6.1,False
SVM,XGBoost,6.0,False
Extra Trees,KNN,5.8,False
SGD Classifier,Decision Tree,5.8,False
Ridge Classifier,KNN,5.6,False
Logistic Regression,Decision Tree,5.6,False
Gradient Boosting,SVM,5.5,False
Random Forest,MLP,5.5,False
KNN,CatBoost,5.2,False
AdaBoost,LightGBM,5.2,False
SGD Classifier,MLP,5.1,False
Logistic Regression,MLP,4.9,False
Extra Trees,MLP,4.9,False
GaussianNB,SVM,4.8,False
Decision Tree,Random Forest,4.8,False
SVM,LightGBM,4.6,False
MLP,CatBoost,4.3,False
AdaBoost,GaussianNB,4.2,False
Decision Tree,Extra Trees,4.2,False
SGD Classifier,KNN,4.2,False
KNN,XGBoost,4.2,False
Decision Tree,AdaBoost,4.0,False
Logistic Regression,KNN,4.0,False
Ridge Classifier,SVM,3.8,False
Gradient Boosting,KNN,3.7,False
Decision Tree,CatBoost,3.6,False
Random Forest,LightGBM,3.6,False
Decision Tree,SVM,3.4,False
MLP,XGBoost,3.3,False
AdaBoost,MLP,3.3,False
Ridge Classifier,AdaBoost,3.2,False
Extra Trees,LightGBM,3.0,False
Gradient Boosting,MLP,2.8,False
KNN,LightGBM,2.8,False
SVM,MLP,2.7,False
Random Forest,Gradient Boosting,2.7,False
Logistic Regression,GaussianNB,2.6,False
Decision Tree,XGBoost,2.6,False
LightGBM,CatBoost,2.4,False
SGD Classifier,SVM,2.4,False
AdaBoost,KNN,2.4,False
SGD Classifier,GaussianNB,2.4,False
Logistic Regression,SVM,2.2,False
Random Forest,XGBoost,2.2,False
Extra Trees,Gradient Boosting,2.1,False
Decision Tree,Gradient Boosting,2.1,False
MLP,LightGBM,1.9,False
SGD Classifier,AdaBoost,1.8,False
KNN,SVM,1.8,False
Logistic Regression,Ridge Classifier,1.6,False
Logistic Regression,AdaBoost,1.6,False
Extra Trees,XGBoost,1.6,False
Decision Tree,KNN,1.6,False
Gradient Boosting,CatBoost,1.5,False
Ridge Classifier,SGD Classifier,1.4,False
XGBoost,LightGBM,1.4,False
Decision Tree,LightGBM,1.2,False
Random Forest,CatBoost,1.2,False
Ridge Classifier,GaussianNB,1.0,False
XGBoost,CatBoost,1.0,False
KNN,MLP,0.9,False
Gradient Boosting,LightGBM,0.9,False
Decision Tree,MLP,0.7,False
Random Forest,Extra Trees,0.6,False
Extra Trees,CatBoost,0.6,False
AdaBoost,SVM,0.6,False
Gradient Boosting,XGBoost,0.5,False
Logistic Regression,SGD Classifier,0.2,False
