Model,Scenario,Category,F1,MCC,FNR,FPR,F1_drop
Logistic Regression,Clean,Baseline,0.9008766014834795,0.8204577158384159,0.05782792665726375,0.11597374179431072,0.0
Ridge Classifier,Clean,Baseline,0.8195637805684072,0.6677953106128413,0.12552891396332863,0.2013129102844639,0.0
SGD Classifier,Clean,Baseline,0.9013513513513514,0.8213763159178765,0.05923836389280677,0.1137855579868709,0.0
Decision Tree,Clean,Baseline,0.997179125528914,0.9949909417214742,0.0028208744710860366,0.002188183807439825,0.0
Random Forest,Clean,Baseline,0.9964664310954063,0.9937427239091366,0.005641748942172073,0.0010940919037199124,0.0
Extra Trees,Clean,Baseline,0.9978828510938603,0.9962433933602829,0.0028208744710860366,0.0010940919037199124,0.0
AdaBoost,Clean,Baseline,0.9908386187455955,0.9837239062277164,0.00846262341325811,0.007658643326039387,0.0
Gradient Boosting,Clean,Baseline,0.995059985885674,0.9912335387309282,0.005641748942172073,0.0032822757111597373,0.0
XGBoost,Clean,Baseline,0.9978828510938603,0.9962433933602829,0.0028208744710860366,0.0010940919037199124,0.0
LightGBM,Clean,Baseline,0.9964763918252291,0.9937404462944851,0.0028208744710860366,0.0032822757111597373,0.0
CatBoost,Clean,Baseline,0.9978828510938603,0.9962433933602829,0.0028208744710860366,0.0010940919037199124,0.0
KNN,Clean,Baseline,0.995053003533569,0.9912369880623096,0.007052186177715092,0.002188183807439825,0.0
GaussianNB,Clean,Baseline,0.7204030226700252,0.5938670216361518,0.39492242595204513,0.05798687089715536,0.0
SVM,Clean,Baseline,0.9902097902097902,0.9826120404226455,0.0014104372355430183,0.014223194748358862,0.0
MLP,Clean,Baseline,0.9936305732484076,0.9887401107349904,0.009873060648801129,0.002188183807439825,0.0
Logistic Regression,Temp +1C,Single shift,0.8825,0.7908116273186764,0.004231311706629055,0.2024070021881838,0.018376601483479527
Ridge Classifier,Temp +1C,Single shift,0.758990874932904,0.5559979844194199,0.0028208744710860366,0.4890590809628009,0.060572905635503216
SGD Classifier,Temp +1C,Single shift,0.8836045056320401,0.7928019580188013,0.004231311706629055,0.20021881838074398,0.01774684571931129
Decision Tree,Temp +1C,Single shift,0.9667590027700831,0.9406321119900186,0.015514809590973202,0.04048140043763676,0.03042012275883088
Random Forest,Temp +1C,Single shift,0.9613259668508287,0.9308552957945571,0.018335684062059238,0.047045951859956234,0.03514046424457762
Extra Trees,Temp +1C,Single shift,0.9089605734767026,0.8407330567972541,0.10578279266572638,0.05689277899343545,0.08892227761715776
AdaBoost,Temp +1C,Single shift,0.7629688747007183,0.6325099125679274,0.32581100141043723,0.07221006564551423,0.22786974404487725
Gradient Boosting,Temp +1C,Single shift,0.9791666666666666,0.9629253034300971,0.005641748942172073,0.028446389496717725,0.015893319219007385
XGBoost,Temp +1C,Single shift,0.9887798036465638,0.9800381449388101,0.005641748942172073,0.01312910284463895,0.009103047447296508
LightGBM,Temp +1C,Single shift,0.9512855209742895,0.913217598929607,0.00846262341325811,0.07221006564551423,0.045190870850939535
CatBoost,Temp +1C,Single shift,0.9676975945017182,0.9424864789724031,0.007052186177715092,0.045951859956236324,0.030185256592142107
KNN,Temp +1C,Single shift,0.8561917443408789,0.7370397745791805,0.0930888575458392,0.16411378555798686,0.1388612591926901
GaussianNB,Temp +1C,Single shift,0.7580645161290323,0.5845538332566091,0.27080394922425954,0.15098468271334792,-0.037661493459007045
SVM,Temp +1C,Single shift,0.9124183006535947,0.843162641522712,0.015514809590973202,0.13457330415754923,0.07779148955619541
MLP,Temp +1C,Single shift,0.9075520833333334,0.8342606116129814,0.01692524682651622,0.1422319474835886,0.08607848991507427
Logistic Regression,Temp +2C,Single shift,0.7895030709101061,0.6175101659970235,0.0028208744710860366,0.4102844638949672,0.1113735305733734
Ridge Classifier,Temp +2C,Single shift,0.6821032320308731,0.3770050243442926,0.0028208744710860366,0.7188183807439825,0.1374605485375341
SGD Classifier,Temp +2C,Single shift,0.8047808764940239,0.647189571193787,0.0028208744710860366,0.3730853391684901,0.0965704748573275
Decision Tree,Temp +2C,Single shift,0.8843151171043293,0.7956405638327393,0.12129760225669958,0.08424507658643327,0.11286400842458466
Random Forest,Temp +2C,Single shift,0.8825622775800712,0.7930561302490051,0.12552891396332863,0.08315098468271334,0.11390415351533512
Extra Trees,Temp +2C,Single shift,0.7953890489913544,0.6431195600040364,0.22143864598025387,0.1389496717724289,0.2024938021025059
AdaBoost,Temp +2C,Single shift,0.42985611510791366,0.1810067370307455,0.6629055007052186,0.17943107221006566,0.5609825036376819
Gradient Boosting,Temp +2C,Single shift,0.9608785175017158,0.9301549184837014,0.012693935119887164,0.0525164113785558,0.03418146838395819
XGBoost,Temp +2C,Single shift,0.9583617747440273,0.9257567698742108,0.009873060648801129,0.05908096280087528,0.03952107634983304
LightGBM,Temp +2C,Single shift,0.9286657859973579,0.8729204839793117,0.00846262341325811,0.11159737417943107,0.06781060582787113
CatBoost,Temp +2C,Single shift,0.9593383873190903,0.9272839448112582,0.018335684062059238,0.05032822757111598,0.038544463774770055
KNN,Temp +2C,Single shift,0.6376996805111821,0.3111770010481818,0.29619181946403383,0.39059080962800874,0.35735332302238687
GaussianNB,Temp +2C,Single shift,0.534711964549483,0.20367396868412568,0.4894217207334274,0.3096280087527352,0.1856910581205422
SVM,Temp +2C,Single shift,0.7210031347962382,0.4689490200655605,0.18899858956276447,0.3402625820568928,0.26920665541355193
MLP,Temp +2C,Single shift,0.7029339853300733,0.4268153748047585,0.18899858956276447,0.3851203501094092,0.2906965879183343
Logistic Regression,Humidity +5%,Single shift,0.6824096385542169,0.378621761094691,0.0014104372355430183,0.7199124726477024,0.2184669629292626
Ridge Classifier,Humidity +5%,Single shift,0.7062937062937062,0.438773433628431,0.0028208744710860366,0.6411378555798687,0.11327007427470093
SGD Classifier,Humidity +5%,Single shift,0.6824096385542169,0.378621761094691,0.0014104372355430183,0.7199124726477024,0.21894171279713448
Decision Tree,Humidity +5%,Single shift,0.974500344589938,0.9547138990251588,0.0028208744710860366,0.038293216630196934,0.022678780938976018
Random Forest,Humidity +5%,Single shift,0.9881035689293212,0.9788410265231453,0.004231311706629055,0.015317286652078774,0.008362862166085172
