Model,mean_F1,worst_F1,mean_F1_drop,worst_FNR,worst_FPR
Ridge Classifier,0.6983,0.234,0.1213,0.866,0.7188
GaussianNB,0.5021,0.1901,0.2183,0.866,0.6258
Extra Trees,0.7512,0.4531,0.2467,0.6559,0.2166
KNN,0.7212,0.2328,0.2738,0.8477,0.3906
XGBoost,0.7211,0.2668,0.2768,0.8434,0.3928
CatBoost,0.7177,0.2363,0.2802,0.866,0.4026
Gradient Boosting,0.7114,0.2363,0.2837,0.866,0.5339
Random Forest,0.7105,0.2319,0.286,0.8688,0.3151
SVM,0.7001,0.2186,0.2901,0.8773,0.4037
Logistic Regression,0.6062,0.2363,0.2946,0.866,0.7199
SGD Classifier,0.6065,0.2363,0.2948,0.866,0.7199
MLP,0.6894,0.2363,0.3042,0.866,0.6696
Decision Tree,0.6736,0.2319,0.3236,0.8688,0.1422
LightGBM,0.6555,0.1043,0.341,0.945,0.1746
AdaBoost,0.5948,0.2363,0.396,0.866,0.1794
