Model,Noise level,F1,FNR,FPR
Logistic Regression,0.0,0.9008766014834795,0.05782792665726375,0.11597374179431072
Ridge Classifier,0.0,0.8195637805684072,0.12552891396332863,0.2013129102844639
SGD Classifier,0.0,0.9013513513513514,0.05923836389280677,0.1137855579868709
Decision Tree,0.0,0.997179125528914,0.0028208744710860366,0.002188183807439825
Random Forest,0.0,0.9964664310954063,0.005641748942172073,0.0010940919037199124
Extra Trees,0.0,0.9978828510938603,0.0028208744710860366,0.0010940919037199124
AdaBoost,0.0,0.9908386187455955,0.00846262341325811,0.007658643326039387
Gradient Boosting,0.0,0.995059985885674,0.005641748942172073,0.0032822757111597373
XGBoost,0.0,0.9978828510938603,0.0028208744710860366,0.0010940919037199124
LightGBM,0.0,0.9964763918252291,0.0028208744710860366,0.0032822757111597373
CatBoost,0.0,0.9978828510938603,0.0028208744710860366,0.0010940919037199124
KNN,0.0,0.995053003533569,0.007052186177715092,0.002188183807439825
GaussianNB,0.0,0.7204030226700252,0.39492242595204513,0.05798687089715536
SVM,0.0,0.9902097902097902,0.0014104372355430183,0.014223194748358862
MLP,0.0,0.9936305732484076,0.009873060648801129,0.002188183807439825
Logistic Regression,0.5,0.7312851807053055,0.28039492242595204,0.1927789934354486
Ridge Classifier,0.5,0.730600008664555,0.26008462623413264,0.22144420131291032
SGD Classifier,0.5,0.7324633101794603,0.2849083215796897,0.18424507658643327
Decision Tree,0.5,0.7048416060315229,0.4090267983074753,0.06652078774617068
Random Forest,0.5,0.7598319266575433,0.35035260930888573,0.046608315098468266
Extra Trees,0.5,0.8401522567404911,0.23610719322990126,0.04223194748358862
AdaBoost,0.5,0.6657047636359911,0.4640338504936531,0.05733041575492341
Gradient Boosting,0.5,0.7610586310678578,0.30832157968970375,0.09759299781181618
XGBoost,0.5,0.7158833919604748,0.40818053596614956,0.04748358862144421
LightGBM,0.5,0.7046419260627157,0.40620592383638937,0.07089715536105032
CatBoost,0.5,0.7860462442822242,0.308885754583921,0.052078774617067836
KNN,0.5,0.8998329026827442,0.13455571227080396,0.04507658643326039
GaussianNB,0.5,0.531911471243361,0.6031029619181946,0.07396061269146609
SVM,0.5,0.8903970141016924,0.14047954866008464,0.05514223194748359
MLP,0.5,0.8684170644780845,0.16868829337094499,0.06455142231947483
Logistic Regression,1.0,0.6527783911957238,0.3486600846262341,0.2669584245076586
Ridge Classifier,1.0,0.6667563327045052,0.3249647390691114,0.2711159737417943
SGD Classifier,1.0,0.6513974532769853,0.35204513399153736,0.2647702407002188
Decision Tree,1.0,0.5816868976124967,0.544428772919605,0.08577680525164114
Random Forest,1.0,0.6427546978043062,0.46346967559943586,0.10284463894967177
Extra Trees,1.0,0.708517120399537,0.38645980253878703,0.09146608315098467
AdaBoost,1.0,0.5150466513982446,0.6262341325811002,0.059956236323851206
Gradient Boosting,1.0,0.6495164316103115,0.4163610719322991,0.16564551422319473
XGBoost,1.0,0.6433898330254567,0.4547249647390691,0.11597374179431072
LightGBM,1.0,0.5873170249556985,0.5272214386459803,0.1061269146608315
CatBoost,1.0,0.6524426705443457,0.4377997179125529,0.124945295404814
KNN,1.0,0.7678967169871997,0.29026798307475316,0.1074398249452954
GaussianNB,1.0,0.487655331809711,0.6296191819464034,0.11531728665207877
SVM,1.0,0.7523065826079173,0.2947813822284908,0.1315098468271335
MLP,1.0,0.7373045729459365,0.29732016925246824,0.1577680525164114
Logistic Regression,2.0,0.599105409490108,0.36671368124118475,0.3728665207877462
Ridge Classifier,2.0,0.5972933959409295,0.3915373765867419,0.33260393873085337
SGD Classifier,2.0,0.5968926310671827,0.3698166431593794,0.37330415754923413
